,Tiempo,Modelo,Score,Promedio
0,0.05397218863169352,0,0.7587657588632722,0.7587657588632722
1,0.09408629735310872,0,0.7577627638085951,0.7582642613359336
2,0.04537525574366252,1,0.74466810615031,0.74466810615031
3,0.08595482508341472,1,0.7448213415058856,0.7447447238280978
4,0.03640705347061157,2,0.749070140001393,0.749070140001393
5,0.06665594577789306,2,0.7500452740823291,0.7495577070418611
6,0.041988480091094973,3,0.7646165633488891,0.7646165633488891
7,0.0792686939239502,3,0.7621647976596782,0.7633906805042836
8,0.043535315990448,4,0.747287037681967,0.747287037681967
9,0.08371075789133707,4,0.7446541756634394,0.7459706066727032
10,0.04092148145039876,5,0.7529706763251376,0.7529706763251376
11,0.07828434705734252,5,0.7551299017900676,0.7540502890576026
