,Tiempo,Modelo,Score,Promedio
0,0.026923441886901857,0,0.808341336260118,0.808341336260118
1,0.04277917941411336,0,0.8106187405679791,0.8094800384140486
2,0.018034334977467856,1,0.7696803402387159,0.7696803402387159
3,0.032359512646993,1,0.7689943750857456,0.7693373576622308
4,0.01987504561742147,2,0.7574975991219646,0.7574975991219646
5,0.035944664478302,2,0.7565372479078063,0.7570174235148854
6,0.020372633139292398,3,0.7558787213609549,0.7558787213609549
7,0.03705178101857503,3,0.7591439154890931,0.757511318425024
8,0.017923490206400553,4,0.7560982302099053,0.7560982302099053
9,0.032219648361206055,4,0.7593634243380436,0.7577308272739744
10,0.019915223121643066,5,0.7540266154479353,0.7540266154479353
11,0.03569080432256063,5,0.754698861297846,0.7543627383728906
12,0.019622675577799478,6,0.7572918095760736,0.7572918095760736
13,0.03566520214080811,6,0.7557415283303608,0.7565166689532172
