,iter0,iter1,iter2,iter3,iter4,iter5
0,630727,655143,188657,1672,190182,331551
1,578388,696837,165668,139720,95524,640466
2,554563,585153,69655,204808,652875,631030
3,73392,3270,708600,576949,8919,292654
4,388750,585311,587843,657339,305170,182406
5,555288,176966,482054,337088,514038,540735
6,323481,174875,538469,174925,318091,698691
7,271528,411237,337279,157609,378040,64745
8,158582,53930,294,346185,68656,24066
9,331601,189088,702661,266042,488062,208602
10,250566,209249,98931,93245,301899,588049
11,363182,478782,339849,272200,148361,544391
12,524950,488122,95361,693174,536118,471509
13,287947,24055,625711,118455,380800,573042
14,403286,549806,117689,607583,300071,251902
15,69260,256068,282408,391068,722517,557768
16,273209,358108,290799,21530,336026,152015
17,528083,304797,520859,24978,203752,496724
18,454813,544235,106928,558661,67772,397827
19,569015,98647,143288,99769,705193,173258
20,564075,73595,671341,421425,473843,88954
21,490666,409162,710121,177922,466379,588123
22,527175,126662,160010,276122,446216,510663
23,153194,238799,494496,609403,195935,264195
24,553348,458501,141813,709189,359234,693270
25,509665,253549,626305,681392,540036,488692
26,585658,230262,121974,240991,483270,353113
27,453063,44048,604743,128420,402198,151973
28,108579,496732,197431,537978,344037,189576
29,532462,485189,381006,685397,380205,243842
30,306903,73968,77027,418335,210493,148891
31,305895,184518,623667,76167,34213,580745
32,380249,264856,153829,607007,411799,299186
33,552930,452714,264035,720445,311292,349576
34,595779,70407,77773,288574,41485,110523
35,222236,590723,11059,7248,244749,350108
36,623864,374191,698284,241648,112183,660771
37,552680,581287,32926,257827,707949,692847
38,372099,375279,640013,509532,71909,574725
39,99935,332427,149934,30156,53587,282226
40,303994,203111,111593,271580,58510,427339
41,15584,311675,717824,44651,316587,562334
42,681613,488796,557324,552219,211742,81397
43,615099,452045,509324,499982,215838,471950
44,431470,719546,196700,252876,272253,682856
45,415804,8591,300489,364793,222022,571214
46,699837,137484,250117,556699,310641,209503
47,581022,606080,208832,699833,371797,99740
48,507111,327289,264870,333623,376660,606274
49,693372,603923,558224,1548,245349,82542
50,493749,359794,455643,589377,112050,451260
51,271881,572999,217272,214648,152755,484605
52,422864,573139,415272,402237,682400,156817
53,421122,139721,131205,227069,576403,22475
54,618091,439432,231575,693738,429671,622310
55,592056,477999,508846,455189,153799,589257
56,8083,131915,391522,547573,321956,288602
57,323831,27461,192023,113860,670874,501520
58,78927,439121,305397,429037,467837,159931
59,695024,648400,606139,457890,697907,506233
60,640759,482753,112147,333033,567537,597333
61,201813,462082,376764,703364,606325,332335
62,689026,604436,227260,423524,205078,197131
63,483652,229107,669929,273477,629630,713083
64,17388,6598,198197,234120,19957,160233
65,436893,326273,45406,462725,587196,277091
