,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7
0,621872,293237,67659,14794,521380,536925,443798,146599
1,132537,65759,64488,357647,514343,32751,747636,285172
2,138835,16922,481919,80518,461151,65633,524551,667279
3,398164,722977,670415,691524,565218,30032,250158,657606
4,699115,444384,332925,558370,234302,6909,273276,493961
5,508593,92630,199875,716633,288686,489434,661823,5881
6,536971,522809,699862,269048,649214,260977,733734,659815
7,43704,603777,626653,33644,701677,511619,289444,222785
8,569484,72620,561252,135670,522666,608588,402716,505321
9,280638,260814,169159,731465,531323,558583,719498,621663
10,125935,384868,717816,592590,49275,199666,515391,464302
11,387365,220001,207863,393441,439111,663024,632886,453122
12,597659,59339,192649,208870,351296,327563,735222,294976
13,157244,100435,660725,439760,419740,234722,541709,138588
14,667838,665707,640665,51419,196733,363391,93174,492735
15,299435,122691,518449,258126,563609,693014,166785,104312
16,216277,146260,107205,376046,560788,688604,522714,111970
17,264462,104409,517841,456189,7618,726957,501156,263846
18,651522,609107,646179,268989,612970,266983,508208,64233
19,238362,419808,256333,14780,256322,598111,136924,374272
20,156273,735438,207883,298046,445644,28415,654776,739152
21,91624,210215,724218,21201,243210,324210,181516,320677
22,616982,498773,569485,253757,14276,298108,723016,744567
23,302574,558157,296506,719090,344808,239231,436470,319532
24,746505,166395,305945,87695,654403,591336,632754,98039
25,674386,121598,539848,82169,282034,491426,379128,476459
26,548865,509642,688359,603699,547176,357975,735188,432572
27,218891,638563,84441,725020,462890,617060,101403,371949
28,500828,287182,47417,183277,263453,157275,490283,318376
29,691936,413914,360163,509998,612326,589956,134469,588140
30,313252,615135,684665,528690,330700,741432,40423,307652
31,261749,387298,208660,184275,623852,200711,30242,115913
32,440276,563132,424090,687346,170092,452803,233874,601492
33,406994,397699,507811,687852,312891,730478,339765,69720
34,335506,46122,80919,19564,692245,410853,521709,18890
35,352634,540739,323638,155425,749083,173540,78083,456354
36,743260,115344,255937,293025,491354,619269,645779,319440
37,137180,45031,499549,105627,704179,601109,374347,332984
38,591556,425961,286221,544159,575738,237162,726178,736723
39,618415,294977,493360,639101,78027,349517,385168,69845
40,517688,533832,449975,454796,457270,680020,614777,564480
41,123659,294680,502217,44468,655821,595405,364620,738249
42,633788,311089,700347,383723,547829,19298,478787,564274
43,633261,61491,666041,498139,403391,173363,423859,536245
44,622310,199543,223780,727728,690018,100312,401498,257915
45,103368,288382,592260,488844,561061,643911,544225,688857
46,573761,274067,162644,451074,63066,363917,347666,665601
47,488506,432324,475418,736098,242677,338175,297165,50173
48,51872,190473,18382,739273,305775,306303,677232,23702
49,31379,723146,352469,363275,389217,119906,340775,74983
50,190177,408964,387129,137887,103536,189376,338006,685282
51,373395,724251,690118,78205,470048,652099,392291,341538
52,101905,731400,58741,330977,423112,513624,689044,37534
53,468980,399273,138213,685778,11040,134985,560255,255478
54,645672,599733,342977,502121,144641,195814,408966,478175
55,200684,19238,212663,493726,685095,97726,673246,257587
56,203654,613735,253328,370511,176336,105589,636023,463324
57,237017,278321,664200,267861,270779,137978,676314,677638
58,216353,362980,311116,229735,579997,546063,48295,327465
59,476284,153599,477321,622428,239170,743872,80851,503844
60,112627,707822,198664,303545,651677,36519,144501,197174
61,263059,242558,490189,630973,526469,745526,121572,104720
62,142998,65711,722859,329579,213606,353215,381042,406353
63,691342,534533,342734,607209,203891,400049,631532,114641
64,578769,408790,103490,619758,57870,676758,239907,362778
65,648407,50863,74793,410926,286311,403292,599396,397107
66,405541,274207,531007,590119,85358,252589,406847,126528
67,521056,31306,567066,484525,318902,725617,317513,477411
68,404775,495709,541250,242547,620026,447098,167869,45141
69,257156,459327,722727,171121,205944,188126,206180,375917
70,296810,604994,429373,102771,423806,427620,364678,176778
71,708930,16143,374200,381323,373047,231826,294248,120906
72,649262,616359,701469,461686,19027,664195,319748,611026
73,87723,503669,371166,293988,44688,446345,678019,473927
74,423460,77322,278962,447688,447517,727536,2619,673080
75,724527,110694,714430,192499,593390,433818,188528,720695
76,230271,213755,79067,1720,174789,20055,529899,687669
77,581769,508836,281544,334099,9232,102447,150031,352592
78,730225,305101,498162,685178,217165,707060,142354,300828
79,651248,407275,709997,21848,385179,387240,226347,440440
80,43292,682583,52392,47950,60545,571574,738526,91447
81,619458,382419,364330,269566,236656,122406,740129,126312
82,345023,132020,533568,518895,441185,716098,385830,111985
83,118543,583521,77706,214786,636008,353508,682502,105571
84,37267,357590,210047,433134,186158,234320,654370,679630
85,405649,554338,629547,598920,233030,155518,454639,563888
86,385897,545395,446125,543219,650413,53747,441909,739568
87,391378,665178,448352,110147,668591,176925,633036,543579
88,639712,651420,515473,291599,314930,222898,139,677947
89,66197,534588,299563,14963,30039,447300,644213,701849
