,iter0,iter1,iter2,iter3,iter4,iter5,iter6
0,96329,711746,194098,144495,113408,136023,17073
1,520694,742843,44370,66482,236979,626138,144872
2,105097,424562,141450,703264,102682,31205,6373
3,603186,748043,450701,297148,495086,627582,408720
4,242855,596965,131436,548130,56154,25178,340965
5,383826,476678,745779,713512,583756,411625,19017
6,708224,325984,30599,537694,373450,38368,598163
7,382352,641362,490083,620197,244394,590688,371361
8,14354,212983,424018,449325,554910,277346,721455
9,282536,33609,173443,349321,46810,250994,132487
10,477927,713552,666921,164911,119670,523925,282490
11,18397,191248,511016,366158,199101,259007,680937
12,45719,329965,141605,42236,12374,252731,474585
13,454127,233687,643868,575713,381782,73718,105847
14,59119,538926,27539,443766,478663,302943,451467
15,393236,220766,650285,523787,312711,6551,673767
16,351778,600957,255497,129937,270310,237781,316644
17,532518,223558,667002,281477,244610,720877,501607
18,555262,9849,453379,202623,688190,57484,571062
19,306293,19013,555540,669087,578556,669355,562319
20,397006,31210,574848,551268,363242,445520,423470
21,647328,736361,260874,141720,510022,270948,436467
22,555427,404712,52767,172287,717245,412678,574173
23,76109,290353,199974,249659,264717,370828,330625
24,368196,279059,98487,638147,686696,382336,565426
25,31262,458833,274683,694927,119989,150602,249555
26,198314,252527,533976,594132,340513,165031,449368
27,86420,260615,618818,679984,580357,139627,353036
28,92528,645789,2974,692046,170108,407188,533344
29,406981,332945,4596,256772,9806,383727,745959
30,429657,376705,664547,473605,372706,688092,343259
31,254530,306469,737001,332477,578775,264447,408856
32,560310,132305,147775,486397,16309,398594,182907
33,706133,558622,380759,471808,151279,13199,59900
34,493475,269321,339666,550666,155221,132363,385733
35,463295,323398,477365,189940,227070,225503,133060
36,590769,390308,711974,360577,513664,349937,676796
37,499056,195382,690726,299113,270931,248384,697608
38,456747,150195,571654,422495,428719,702257,730626
39,163215,584055,709065,128019,39268,727728,88750
40,147674,136174,636461,649222,328123,382816,541980
41,247062,265810,187586,228029,403766,307886,12009
42,604811,339149,424705,257526,250932,666099,726732
43,481994,137316,614899,664686,185527,596678,634917
44,231254,327231,265110,116948,660395,534049,406109
45,131068,51442,450374,584247,627381,539825,694050
46,126217,718461,451500,182806,303592,61321,296987
47,307716,527088,575863,104740,498764,251146,427776
48,693444,537206,478326,572670,225382,355742,187352
49,140241,73123,723679,747788,245327,667829,404533
50,566365,509949,81329,679756,727252,589035,472491
51,22203,21004,402237,535586,111067,319222,422802
52,323083,14593,195534,193972,134924,321391,315799
53,312072,313360,322468,603867,501616,733131,676408
54,617013,259425,390650,481678,539503,232931,608551
55,399237,663963,520967,32803,91533,535270,498671
56,302071,596550,202875,529179,201888,680609,687929
57,640685,291391,234412,35784,492390,451273,74714
58,120621,56684,646123,562501,358543,721356,167586
59,707339,595614,464923,347562,385406,111510,486406
60,359059,235886,102391,244686,288675,311481,398278
61,331909,468689,372754,350298,25102,338342,644239
62,589832,592463,170436,361762,683408,724895,124836
63,541505,121987,735590,13033,509946,363538,123766
64,650510,399311,731890,26487,25618,414456,493457
65,70765,483503,448927,354274,21033,383452,560524
66,621989,139112,444932,85800,45286,120828,643654
67,290847,304670,4327,308476,723405,229431,148517
68,551523,490135,697579,607106,523014,627406,325421
69,561045,450132,293876,142682,387125,707814,250639
70,23215,215901,532817,700889,276527,700892,536606
71,649360,699146,526350,284762,264822,409708,512921
72,636098,655864,739133,500942,724398,203178,393470
73,690094,507704,512409,350964,499151,562605,496812
74,714993,262040,419871,231719,139803,156774,128940
75,352123,359755,41769,251767,212863,456814,42256
76,740692,291842,610469,600829,705105,8374,693418
77,653494,383984,37632,65969,690730,327660,223686
78,493463,421268,562400,440839,579934,661958,193202
79,88423,564688,648640,275432,614878,491095,459576
80,528132,513173,710682,355768,352857,743152,216093
81,218918,451663,613049,56496,179850,315729,462643
82,199338,729399,152933,325904,280344,377670,572674
83,394668,310179,721196,654005,196498,146777,284818
84,583648,59809,601597,673282,232126,513159,355689
85,418829,609480,455708,141912,283188,609694,602306
86,652187,667920,583033,604750,385239,560997,428228
87,282482,64176,446507,211570,1684,578111,576773
88,466538,536541,408366,259587,666662,498772,56206
89,236133,586417,27995,100018,732811,120674,187790
90,443250,721880,471397,586259,204591,472604,463627
91,307274,236393,272019,699302,211047,717286,35556
92,457167,519049,580219,197059,273927,622203,135958
93,204866,519392,576840,251673,247225,441966,70380
94,136201,246831,615494,398468,331262,743069,82983
95,71268,335684,391496,594779,331356,660659,210057
96,28271,626140,542163,404234,33070,543992,390276
97,324507,24166,321448,539070,8446,385443,86320
98,384343,263793,110280,299240,392505,508541,95611
99,87866,609518,542020,113140,461472,221631,464116
100,720947,466052,333631,682248,698064,191085,118806
101,579400,207800,135740,172966,709439,585475,479160
102,734626,134272,191986,405856,16515,135381,454087
103,518869,307685,374689,476995,133088,452929,578232
104,23801,655511,389674,345900,398183,169500,236088
105,222232,632476,60758,553605,457269,514756,436143
106,395219,132374,429098,293519,660594,68425,422175
107,263615,29452,700701,713772,435693,128083,60300
108,322464,547569,76598,650741,622491,716015,54831
109,422266,595284,182229,708884,436342,561111,399978
110,384984,692546,284981,380758,691170,162115,204684
111,79708,227251,395973,741016,127051,20275,670205
112,90449,565649,604710,733690,553734,674627,105081
113,138197,459864,679441,684235,530201,324705,60787
114,516804,248676,155659,306076,429833,485536,535944
115,668924,552770,72637,180740,501431,100811,320476
116,4845,610028,472513,23289,32648,318966,236570
117,335429,537648,412368,572798,231597,515170,726311
118,240679,411786,164208,51311,4258,119906,106970
119,724513,370517,561250,612975,573742,438030,299254
120,731060,310602,527450,399301,370457,486926,535222
121,612876,279035,597664,218891,506240,482858,609036
122,560227,413481,247755,632205,40102,475034,8384
123,345550,489971,396458,362334,330490,7538,535111
124,477722,485446,636766,556691,40840,128722,64969
125,515627,444209,288050,109490,242525,478310,187656
126,55339,188138,691573,387590,298061,474245,379762
127,80719,484452,394313,293543,180494,81416,570465
128,427587,53804,615810,320485,93546,150011,749148
129,212397,58337,101801,235276,339668,535365,359027
130,43469,304303,577468,19132,430853,253668,241065
131,161944,118953,302955,37814,200067,492261,263670
132,418224,440977,360159,404575,593444,279575,252339
133,542679,168586,623832,185544,101928,291021,348619
134,525143,309961,576005,126385,445082,399318,712108
135,442639,78907,14557,404316,20135,646776,715309
136,276313,458708,154966,244135,195484,133849,619511
137,591542,706121,535709,362834,192196,79545,155114
138,676446,652566,255148,610100,275523,488578,704940
139,517859,233679,124312,50462,506153,731995,166625
140,450151,329599,450005,635313,53854,320625,18934
141,680196,226198,688159,746063,6186,313172,627996
142,56543,50443,601658,74609,602562,307360,571767
143,157567,368766,599112,313288,33177,347349,570612
144,721733,9613,494433,401652,520792,291857,448329
145,483252,248390,298260,232159,679828,610714,110848
146,372124,98921,604616,150069,406257,494835,613812
147,651690,21232,179717,711260,699396,199014,68353
148,574543,21933,297467,738706,81361,570559,524158
149,564248,609256,665052,528591,45121,151425,169086
150,35606,90917,518273,518475,403119,23862,582342
151,420340,551918,164004,81999,733731,666244,454454
152,15625,611136,157041,309883,59127,339093,463578
153,263157,46525,200434,566950,619715,606802,692381
154,555074,746460,665289,714233,47932,303402,360313
155,14536,508813,529326,331524,422483,690549,716656
156,353337,131788,511812,377395,269919,584269,393639
157,701781,333525,117177,99084,93187,244072,50671
158,418383,108005,166355,49411,357312,470667,51519
159,13301,734701,198249,290835,119737,189155,265462
160,364579,420717,458741,396132,703492,681840,545901
161,115224,19415,321178,211948,92175,167133,733305
162,250514,172842,213356,718146,321583,581146,227508
163,266003,322582,39094,564681,737644,718321,245454
164,152379,280768,651080,15827,115408,159787,544811
165,719002,617476,121921,640333,234440,523851,316715
