,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20
0,501363,299127,572524,359107,460258,665690,252652,218290,4563,645620,670599,280799,136289,329658,553933,584681,653272,153037,317836,736086,109117
1,265781,735235,560035,57221,133273,173717,462996,474718,240148,360040,313631,304913,501991,526919,208119,625273,40178,371542,256260,511832,343806
2,635918,248639,572539,66927,428342,92335,413398,514830,379935,301794,389234,331294,563717,676000,286446,134213,328337,494839,415972,635973,444323
3,495632,529464,571483,106841,270487,97055,408704,318844,179128,123960,22265,316609,689935,662315,169801,586560,398891,395297,73771,693885,538620
4,132952,481172,488200,89363,118428,9309,214659,597283,364376,696321,116149,487647,285672,331476,119266,155771,599282,403388,67431,428620,68802
5,627023,79327,357760,406541,413875,745377,484824,347734,637526,122521,719593,351667,524137,138650,320013,537603,32114,649552,272126,245060,92607
6,660953,414987,689103,747645,213484,255031,554523,536083,66080,468752,372531,432058,237563,33374,379332,246993,110130,421698,75856,462349,494129
7,589860,225951,527167,365915,419506,424080,203872,393328,379940,279959,418998,184900,223211,224905,456311,252613,284136,35330,599337,388399,304622
8,394471,279591,725969,359928,496627,701257,312687,246349,232834,665681,218360,388500,302498,653640,131967,208229,271985,346624,172062,14214,329187
9,94177,518397,713466,257746,529788,67730,702854,531862,281304,704031,151004,583879,720867,212945,575262,110919,63958,512296,438008,292928,741915
10,87791,660776,326822,53339,165620,98444,7434,275669,62183,449397,380660,299176,436150,257622,499001,488310,24530,593201,494559,361327,573589
11,147901,617632,427874,317323,522783,227237,585740,319679,46004,209913,595147,364114,654908,469549,381094,592410,447978,253568,487013,419649,131783
12,348208,503682,701319,310450,567354,158425,64878,688599,497809,376344,262648,48915,54550,153681,604998,713097,57359,330006,310499,417224,429557
13,670713,271637,494368,691231,348727,333697,368145,378540,22330,436249,177649,515080,517205,498121,532330,735250,295724,102722,145652,84703,656243
14,317689,435296,704916,746194,722946,308237,304533,389811,560138,292422,33051,62682,514701,352379,721395,708976,308035,434346,571332,203538,83947
15,341059,598331,692547,477979,110374,441520,91644,148353,475393,344916,468184,336979,137444,32984,346976,301829,423751,156004,415782,248565,337193
16,15312,28801,590268,574588,75332,97125,387494,147160,391968,461483,80579,547618,656881,301659,208210,722850,235351,603612,452515,304500,682173
17,99514,188946,214654,217139,307570,460556,535492,214206,656328,698017,712366,738885,723114,560830,17775,373371,517276,666663,354452,21695,577702
18,451478,689876,325855,736219,286396,106231,231721,357026,428181,646844,576008,341479,610590,204623,286585,546938,396752,677990,602002,401727,654966
19,263728,27665,124029,579793,353655,574061,560840,471510,723554,541103,369894,52312,89013,568908,90555,647286,308961,400071,737157,133363,418051
20,271166,430816,481083,313468,168628,47786,499702,422478,399981,421763,20089,167933,532939,510192,484506,551594,179724,172916,564908,528084,588745
21,161844,609124,632456,563448,123401,426625,208839,28259,734731,647853,597600,143330,104554,250261,577461,479418,139831,662772,743836,414717,173552
22,267385,716183,689631,292635,102183,535680,299192,357244,92578,169706,557485,336118,536243,514957,44767,701855,172138,41002,34517,219800,107883
23,614538,505383,744142,250245,362915,36999,288119,626035,66327,128723,648847,251468,491601,55750,492512,630705,431393,667871,427406,215053,158042
24,449755,425295,641114,208527,602451,97048,701001,706306,507707,497431,457506,560568,632941,404015,329398,191608,588309,526803,43758,212727,255360
25,640105,225034,192918,497270,149008,477982,234767,280996,611535,168703,4915,696081,58578,516463,32911,274117,160818,257665,279558,118233,693050
26,617593,145215,213869,712252,505231,21010,178316,516859,474850,722857,658364,672971,748006,57859,536146,167615,402239,290576,409935,223289,32297
27,177009,272022,288844,365365,379736,603726,253642,314128,700755,215991,338288,736818,676949,254510,114901,741654,654487,514036,439991,738989,201265
28,208567,639482,434909,152055,108395,725170,284723,531581,519396,514921,647866,289007,448942,326363,346826,608351,345761,532723,706714,547639,436890
29,74850,273368,637212,546015,643410,20191,285149,51801,337652,160055,197284,228306,238869,254382,174112,125295,736008,488348,204344,341888,372457
30,555037,207095,225776,448686,653219,363288,120545,149129,136624,270729,649394,382780,128687,97422,397429,348700,134030,132846,189205,396343,217653
31,9025,182276,25441,339085,362725,234960,193652,488795,686878,739933,727239,585234,684576,540867,482706,470849,428058,731751,102788,226910,516507
32,243135,41957,182503,276,735413,319152,717189,368502,489148,669421,178538,343341,216027,74949,556672,684067,149589,617567,118088,415491,715264
33,91216,283284,382476,651895,7083,150737,649418,636041,110386,518473,652304,637683,639667,409367,11099,663096,434119,128926,401975,621770,351570
34,682440,164268,107942,554571,163424,225991,235445,186520,259426,111801,377594,469750,452668,430754,203693,334207,155078,648755,356707,630753,686645
35,51572,460669,656669,141586,232527,263581,219394,474528,306524,400179,427161,372445,373003,362678,358406,320050,240103,500558,58927,200152,135897
36,210507,445677,20662,270362,737421,206151,653663,53329,610368,542859,542548,499223,81668,626653,539414,273176,96969,235506,210957,177983,659488
37,9499,594755,150601,359156,715258,361582,657447,697629,520713,320627,523386,312585,445837,63564,488431,456787,427450,117030,454512,43443,255111
38,158020,598810,541703,78746,486166,104372,673591,212217,623432,237297,38144,239173,508066,2433,375981,664654,388368,672916,593861,568809,305982
39,489300,117837,439023,170906,202213,328605,130523,123397,212287,504454,418872,700895,315989,117699,214563,194906,415927,502628,23454,133142,62238
40,285343,565448,55794,699910,458435,711206,694564,137367,480678,265732,57817,247267,695036,138074,314507,336091,75740,273399,691263,719727,606272
41,545885,681458,330469,377792,19495,447042,222977,272237,97555,457467,519900,282972,146123,148294,286517,263989,698007,212815,286789,497064,593444
42,676225,540273,591428,604672,38214,55716,552835,659786,345032,720021,53395,193202,339830,434118,332280,425368,640947,646507,41039,657458,192750
43,356521,194319,149533,521107,385458,365931,565593,708752,453806,598017,166203,589092,354578,41578,324439,552437,523264,625769,528431,154406,735152
44,609602,108761,654222,90441,100568,513942,666962,742506,177762,318328,133867,59443,342104,67298,584578,418491,289454,328759,252820,332608,106803
45,22503,518724,287697,685179,615869,32785,588754,610036,526848,422997,601446,105218,151891,294519,524015,514817,289741,419062,4419,621359,687667
46,608918,649849,637067,369726,640712,578441,334061,633615,501442,190812,395260,476926,641355,596873,511264,268446,27214,252882,13968,72761,343017
47,120464,344348,704680,114592,635428,660997,738685,728632,292797,314286,153524,86191,519515,16622,492916,369410,206126,99226,164349,33000,642660
48,429768,73511,577349,250522,720946,294450,504341,231116,391871,19183,621397,464703,242131,498165,287214,5966,426134,199137,410674,531760,336212
49,547882,525746,568654,509883,523410,510809,711488,616654,446899,242945,468409,163197,622442,278532,408006,75535,301079,383708,67123,266425,203847
50,671958,487387,616834,345863,192665,17905,374189,10980,649596,601376,167428,53215,470980,163053,13690,522845,255958,683795,92405,544329,374582
51,607294,188151,741709,346186,593415,700053,158698,609252,298057,119840,62996,329675,410383,620971,705825,265516,47761,521828,422426,530739,314656
52,397180,631615,710447,494782,169907,586742,723253,17548,290607,336061,117968,55005,666877,108700,504009,733124,219896,711795,479325,151876,644088
53,326315,153994,119574,509864,456424,737400,469907,173202,186390,152120,724029,246048,619953,229088,237327,124044,216637,406062,116493,170905,232558
54,391839,643294,575629,312495,708459,472663,125147,327624,722192,265239,124796,667410,630592,728793,419829,96039,416995,722573,272359,536013,257347
55,675049,566409,430831,663867,162297,534812,22927,520378,724343,544087,20772,347550,447468,640698,462561,363374,641017,694293,624359,617349,299140
56,564152,666302,249296,525378,128262,11010,748204,617296,648351,131025,358539,268341,642089,519069,622456,439921,694658,574553,695516,37722,479729
57,543858,450191,247948,3020,432680,456845,22921,593170,404242,13624,605601,126786,607390,644857,455370,508609,641694,333177,85583,658422,247707
58,244712,686563,18137,97019,742148,369056,228825,66144,195272,361322,566869,466278,78408,110618,509644,339970,391648,105408,186258,15671,641416
59,2472,639057,298962,409995,264943,277605,739249,238479,169260,3677,366963,549952,443284,247758,570695,405786,697247,322578,145858,131426,319476
60,640608,686508,655970,252181,327767,210256,105189,313381,716465,152411,224832,742570,176411,502144,126677,88956,303524,577536,659874,371457,517508
61,366095,18758,200213,410730,135548,372341,574691,747003,580021,133942,520616,324353,114934,269393,25608,376054,305699,189095,264754,308626,422433
62,529124,113144,694874,684353,745457,104301,352028,180319,501995,564647,280967,662027,728957,536162,413448,86302,218176,195855,533189,738913,240637
63,414978,239062,705219,612230,483427,2862,14082,544138,712111,100563,70546,414964,231461,67833,57476,368996,351844,608071,714436,113616,653559
64,171486,168168,575806,525777,332110,219275,541376,67938,415032,294252,252264,551860,231140,670017,386415,707951,247767,208417,353289,101680,191926
65,9625,155619,704061,369170,451709,440744,458618,424,542341,481169,313634,715790,358856,17247,8555,166753,329187,473437,302654,124443,317249
66,278543,140210,114021,239111,650289,332695,177176,287131,703477,384461,604866,133929,142413,497623,609450,105909,648799,116518,567811,463439,58408
67,560665,442990,514337,193457,43041,550743,661598,157172,289552,726994,92094,146210,386941,116147,591344,310968,464415,164087,189452,654186,675410
68,104338,590774,310030,286795,554162,124683,551326,182295,112903,661307,295227,124274,213646,664774,420798,13498,269,43592,48374,435041,34026
