,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19
0,1387040,608308,2093603,1364072,713201,2064740,1070203,2216980,1172543,1540246,2020785,2102480,555706,1728732,887436,751819,662821,1437550,31782,1900257
1,1134030,1980908,864090,493922,456525,446921,170597,1412690,211376,1611780,896919,764288,2017379,1815581,73219,12737,1778575,503060,108553,1421620
2,151747,1034825,1042417,1575555,669983,1332757,1620233,1931698,620704,1230218,1516032,2113741,1506350,1526672,799777,1635573,228447,766013,1290651,1401452
3,1753810,2234047,21399,500362,167433,987407,890011,2158399,1665643,1127116,669771,1501341,1234408,1794468,866613,1678413,831798,1437043,1242,1551500
4,1676087,1826869,2087111,2234738,1120327,1304328,32380,1598148,1247066,358439,194407,1677077,1237059,1412263,2043588,131113,170752,1879915,81754,939959
5,2100376,295045,2194855,167770,2226611,643113,1688849,34483,1770748,1532533,420940,1891007,176447,1865133,482642,702497,1701619,50421,514316,497096
6,391663,1700638,2119556,872241,715005,1822427,1370837,1997500,2208862,993066,1640321,1827965,355882,1048116,399771,1950906,539285,1757292,29963,2232803
7,2043122,72846,803660,504820,1831706,856838,1601533,117458,2159298,1938329,1984146,373070,1972871,872766,1350465,1913731,1328176,435181,2110305,993127
8,732166,780401,1964908,87592,46361,435401,2156021,1035264,553139,1462445,1172224,752028,1250314,246901,1111258,1515918,1578086,334055,159616,1722786
9,2057080,721846,1696699,927888,2143684,2153906,260942,1387835,435013,162329,1931790,596550,134663,1051480,1526075,895891,165163,1776004,1960012,1698652
10,653355,486142,1029633,1920184,2046961,1758804,1155317,842397,158088,1946172,1553388,1181315,950632,215999,511910,2139154,583019,1806822,1681516,1778101
11,439103,1659844,1111151,2015572,69183,2000785,1420561,232606,125926,714048,147150,109691,1706357,23416,1201330,1732701,1045900,514262,837175,1991350
12,364828,1597513,1523737,712415,2146092,717674,124461,1316556,414516,587719,1613649,1272097,1383869,1364486,1771182,190238,1049223,993111,1263865,1838523
13,1876114,930752,299327,2135457,865539,1311203,1461076,401524,44644,36458,2117809,748845,1226565,285167,311318,411230,580525,425784,621108,277385
14,2223340,894978,22626,2200262,1480160,1781042,1888209,768700,2056640,103925,716900,1469031,576802,291010,1295820,1569651,1089875,2063075,1045678,1143892
15,662179,1520779,1065432,818961,2079055,1942908,1902765,888455,1595083,526490,820046,1881190,1647850,448094,1763812,1067140,1175363,301442,511903,918014
16,1656346,298802,862084,1017175,2188024,960530,434225,1022546,1401118,406797,948710,1248148,1199813,2011938,2001357,2104960,922027,2101250,309268,387783
