,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14
0,294315,1278863,1189855,1897196,2235363,1906288,385498,796158,2162147,1432603,1223178,258829,1425030,1620000,1305568
1,1415079,1199176,1224635,1477684,347330,233858,2087184,1896879,203336,1064351,1437508,509169,249372,1489412,19753
2,1946790,1425717,1819475,1760990,1174085,56448,1175842,1938616,1106481,172902,2037241,948352,1739486,1282860,854292
3,1065650,413271,493717,1553285,2039726,1898943,1446899,1448970,578572,1989624,164870,664340,303302,1144092,484968
4,588346,1396964,93087,929399,2137305,943942,1717937,2232739,1018515,1822734,998536,692569,1042937,909137,215267
5,1676242,1448393,1038067,624560,44465,2074644,1748976,1733237,1580597,736129,1306878,955471,2122953,656437,1312838
6,797904,1773705,48028,350016,1272262,1919077,1366977,1228860,1228529,899293,424817,889089,1067747,1109284,592194
7,1489189,1714982,1989744,1981255,962008,750440,1084878,627543,410757,1433289,284518,2053527,330873,1387479,1483168
8,1108552,23330,1016719,1772316,2111297,1732344,624283,1700859,1201224,2037717,562086,974455,687451,457721,1876802
9,695757,1043781,378923,1775744,523777,662603,178491,1077569,1216530,1789957,2013670,1566943,598357,99395,1515746
10,929358,1612527,812309,341532,2229524,163001,1932324,1772563,202539,1193441,747804,1154638,907119,1572918,1973133
11,566994,1689216,1274816,258753,663708,493414,336443,908501,2153732,119872,54090,1831764,470358,1827865,838972
12,1422109,1690979,1402489,986775,1476653,1643978,339076,1882796,2040337,591167,1349014,1151586,2034994,1006308,1227432
13,697875,1522026,394069,1730248,393054,1730018,1709827,917901,366706,1643545,806241,446305,1303543,1641560,1168654
14,2072719,794591,628493,568313,429806,1927645,2026945,84199,261037,535600,1506674,469579,967057,560423,255323
15,1646719,1813559,821574,111583,638700,1152098,1966257,459509,798879,1635017,1089149,2111552,2076607,166376,2043521
16,881762,1038502,517795,125667,1657720,886550,151764,1598734,417558,1662973,439948,293937,158854,261659,2010895
17,1640095,306956,1200851,1341412,1619563,681498,341187,590088,1993609,620508,1688800,733067,678559,290900,1083434
18,441088,1607223,1443461,1626327,590410,1430141,1701444,1496741,1849570,1771269,603203,637273,391836,292558,1893472
19,161350,1128247,84437,938950,673037,1131941,2214024,649955,319526,1029796,1614469,1942881,666196,282250,1482492
20,1635705,1386381,877085,310033,1677132,811534,1219370,1576546,1712884,2045937,2148856,302534,254383,1706877,945673
21,1755308,717405,1224947,278436,1701417,355603,2154632,1809666,1813572,812877,164292,1096723,633632,561684,1741327
22,347671,1786090,1503391,1209543,1943290,1334381,645538,1623456,555768,330267,732371,197277,1169915,334348,397040
23,1808482,2130281,981349,1006299,1836198,597023,1537976,1330322,1765955,2063444,2237493,369098,1834358,1279488,1135165
24,662998,1405364,76134,778821,2054763,1056883,2870,1603009,398323,2238908,26141,2173415,1664446,1980374,1547770
25,611273,906447,2099419,637164,49765,156096,1141476,532429,743176,685476,435595,1875614,2056350,2012344,60173
26,1631122,232214,681780,186396,483070,1518871,737619,612754,473146,1959556,1735608,197643,1458290,1340094,1494604
27,1981158,1699841,1665087,2195453,2156779,925671,2136508,224632,945781,266057,1257391,556662,1757365,1340325,281416
28,313907,979559,1710148,771513,1186802,1438296,1827871,675661,1084886,1335354,59411,930130,501545,1798561,1492158
29,1531067,351872,1456467,431710,36371,544146,849562,1577844,485267,1120430,1097771,471937,214300,2041747,161577
30,1062376,1078042,2190622,1014457,524578,1279244,1009746,98923,1417730,800480,2015459,602470,736125,149645,1569925
31,2042429,1940715,855114,2072355,1809719,1142822,1502417,796670,1003284,1349647,278306,769220,1459463,1280661,1743921
32,225845,850682,549302,506139,1199539,2081128,1152932,616484,697944,74214,431841,815127,1664546,300429,860140
33,210273,1727123,1289405,1630623,965989,1823189,1381146,1788139,1909306,1231885,441990,1396010,1586010,1859955,1885553
34,564874,779714,822846,914194,1316244,1237363,320229,2199506,922063,811657,820349,1153268,308323,1621912,1352911
35,1570445,1947992,29037,702198,1730708,1284104,1367419,862816,657824,872392,1086460,482548,1814024,1796580,346980
36,303294,1275243,1964446,1086393,764861,1667426,198099,9907,1278357,2124575,107922,1799732,1696064,1820464,52311
37,1966986,1282437,2174571,865194,2113381,126426,932312,1863904,1074250,1503851,1471849,1104102,1479498,730583,488838
38,1540820,60294,1332077,207515,1925239,2127900,1765754,1735535,568822,121674,218982,193696,791693,1466610,2209646
39,1721177,1562431,650724,1237023,1502231,1729452,910003,1470287,1508085,2171020,103597,2160656,1198332,1933552,1924828
40,709360,735866,547322,1670048,1399699,422505,1779748,868764,981470,1316825,985342,1261665,1500720,1146240,94533
41,1212676,1712833,2070297,1497124,640684,1198765,565873,1716533,1015371,1441309,249193,200237,564199,666395,1224470
42,1620841,865006,1447286,1159540,701120,1060051,1592589,52758,82332,1752921,1163039,37089,524560,2171702,1877144
43,2151085,749790,1791848,248159,2235614,1897125,322829,1124120,58462,1079392,1817333,702532,104603,1561476,1495100
44,1276239,246487,1249328,1221175,1608708,1964246,431057,995689,171393,957025,825893,2202611,1034178,887544,1900203
45,1721707,1530654,366484,353611,730874,1509970,507417,289817,1847634,953795,363091,1169968,72342,617933,2045791
46,832796,673279,895402,336518,1777477,548541,876176,1085428,1235127,168106,1004797,1830372,2242447,890862,2011585
47,14516,2163419,1472360,633705,827656,1608857,1867492,2041158,890253,325559,1479541,1829724,1435508,840415,1242038
48,1788317,1734676,6154,1554086,1259600,1676246,110045,1804970,1373850,1117791,2184635,1025249,1683769,1373013,464006
49,1562721,1069853,1340205,2117900,1417601,1924581,38196,1276653,1741692,2091089,2069316,964946,1407504,1174766,461540
50,306401,165595,1125790,1063006,497316,441414,2018186,901573,272899,1324599,1340250,1103155,371541,1475204,1176143
51,903588,2149862,1037488,381939,996201,661918,148838,551140,2051338,1950351,1569084,1843101,2234981,1460818,1797140
52,1258493,2057327,1857510,1161816,946471,1200517,1643898,726825,583841,1836721,1121225,1904188,578492,593399,1232250
53,1528278,1411583,1662021,1789624,784756,450137,1634875,2033755,1670804,543977,1121989,1456468,646305,1057325,1908365
54,1507089,1816441,1505856,1441909,1651955,333957,512716,440374,521348,307533,2024856,994075,19773,1715758,1811935
55,1639535,857306,1017763,1082700,735006,1763082,420145,271223,2204007,1943518,395404,2042208,1704403,1384595,190519
56,1897128,1469769,832049,12113,1406025,545244,252328,2119411,1447528,72250,2195432,1216198,415275,142903,1376917
57,1094564,200323,1692412,356966,181725,2183283,1835072,1656780,1659976,662146,1100430,1986493,716470,1652854,1712533
58,360272,1842118,1860767,1600609,1954607,421166,1920336,1686983,1363921,731722,312382,1842124,1082006,969949,1287523
59,86206,939912,1442869,1616594,698906,1556761,1167323,1727950,1968197,895736,600261,258926,891759,622533,1964713
60,2045219,1942819,1239265,2138543,184328,1981425,182607,2234903,596543,2020125,2036754,1461399,1435651,187124,2108354
61,778633,1877653,908155,497550,2035891,563525,1119428,1479197,629401,2236863,210948,1656581,207707,1356506,1099149
62,381390,1545334,1506936,554048,633691,858205,1885320,833650,622510,593832,1919327,336164,1642555,1255696,1202824
63,533470,580395,338847,852007,1599794,1746956,1852367,2012079,367798,291004,1754130,1972676,930554,871347,1226160
64,665823,1909485,741490,171333,152786,2215156,1228808,1454982,552586,2073819,777273,1854380,990633,212106,962721
65,1340298,495604,1986516,1882618,779506,702242,217788,933854,2071792,1731794,51176,1052397,416158,2061952,1301386
66,842071,906528,1800054,667946,1678573,1722442,956131,697546,475640,1401323,1642640,918384,771058,192899,1247355
67,84655,391482,181938,980230,1987508,378069,142421,1959531,1247998,163691,512698,536943,234718,1174311,1101761
68,574921,1074608,646084,1563119,1032404,1871941,876866,209465,6506,2048720,553166,2191794,975593,1810349,132307
69,130178,1713325,615538,1716758,728966,1692304,686126,137504,995298,1847565,804583,2078426,1247111,1845292,1094206
70,1996598,250117,640269,811827,289857,1177112,1461087,1744804,1925562,1028416,2003093,63314,2229689,1157213,646241
71,1414595,1742149,1716538,1152161,129641,2098453,57175,1710445,1166236,825492,255572,307968,832711,893426,889771
72,1945439,799568,1689782,1002009,1157913,851885,894426,1535203,898968,1796439,354109,1313317,699388,847203,2156335
73,1699668,2078878,382345,752230,1264654,370581,1205820,1280311,1663895,839928,2011364,349897,611775,18396,252788
74,2192950,797181,1380248,466445,123891,637648,1258719,125948,304448,206773,2226838,1367436,1622005,1091814,1983477
75,1624717,844019,665790,160497,543151,459976,1816729,1100364,1590871,1732664,1244379,210187,1233046,1728187,222569
76,1231501,651806,1199570,422236,369739,107691,1113159,1728988,708664,1030427,2041887,492702,1798594,1794944,1014604
77,1618907,362865,1991897,83713,202719,51128,238663,328958,996484,2181394,1506670,69362,1348540,308805,2173521
78,732717,1512262,853432,886541,1097893,490451,1093960,1544711,2053913,505149,715642,1717233,1916634,788621,230484
79,714770,924362,1126040,544897,1277828,1274452,622824,1347195,826870,78966,2071397,87412,549112,106251,1854989
80,1496379,1996286,75297,88742,314943,196751,870393,646680,39546,2194180,939327,1813696,1845098,1767575,1297613
81,347946,237572,957937,1878608,1521863,231829,62312,1476333,1863865,658357,790148,157002,1798105,1517658,540169
82,1833661,1045399,1964675,253452,30660,1894128,338408,565547,2239975,183331,185421,1851373,1386366,820547,1770032
83,1544399,1607999,1642311,1040068,452495,1253519,1169676,1174801,1650347,1975545,1542232,940882,637053,763260,2139687
84,793110,1290578,1480604,1571351,29240,574428,765079,1973143,2169244,970093,2005966,528668,2234995,747667,161487
85,259786,2073937,486984,50221,249357,1207282,274387,1208956,949368,583105,5645,57971,629950,1820117,182672
86,1922390,1136892,245602,473153,1600904,1658913,1996166,1289872,1936839,998848,1957991,1497442,242470,1328021,1566550
87,1201481,1829705,917936,845963,1854178,2045893,1280896,1905909,327631,1334750,654778,613949,2002915,174403,822370
88,505950,1917567,1858972,2222512,944734,895317,513791,1135376,205244,1960246,1587528,591649,60676,2095126,1243752
89,1743268,348964,862451,103358,1024661,827637,1394095,82829,1833124,2071109,295277,1159656,1754241,1140741,927501
90,383768,240919,1037982,2060949,2136291,401822,2150285,1346552,1744758,1603129,1505293,1763647,2076396,360539,1354413
91,1963382,1134981,65518,1523685,288682,1925664,1112580,1721724,826842,1361334,1049638,248292,737663,2075048,274015
92,818836,1687317,1912,1090603,1908517,2236946,524122,1552947,2057723,52181,1359938,598888,992934,1839181,2025853
93,234025,840725,451735,496684,1005810,530959,2044876,542318,1806371,263327,746992,21264,313724,68489,2089720
94,1159986,2117692,938664,1509545,2102390,2029889,1509907,2179519,342786,1434923,1898420,1223705,20971,242333,2170740
95,1969920,199973,470231,550202,981279,2215065,1709395,1535181,1734085,1916640,403682,1727004,1838500,596073,954710
96,1291678,202265,114449,1979808,859822,1641454,526900,1380858,860826,1321355,2143987,38323,659410,707891,1632362
97,1372312,582440,617358,1611978,709346,1139869,278227,690747,2160797,2039073,87790,806643,679370,1533462,591034
98,10213,2133045,339961,505406,1138304,86013,197006,633135,1665717,226749,1644198,1984104,502568,632859,143978
99,965133,1130270,1273151,1486135,1866544,1252688,2182252,639907,1086087,2208428,242007,691011,257952,1914847,1263728
100,2232388,890046,140055,1585525,270726,311669,1074602,893629,397185,1771615,1974593,171869,2027783,373220,26162
101,810518,1152367,1726121,1188582,1806616,496653,1123696,1592620,1117884,1497809,1242821,1104599,1735454,1430057,1745049
102,74775,1998156,1814598,1156117,2104952,1116313,466546,790371,2182177,880646,1093315,412195,1848631,652692,652021
103,2125487,643918,1839083,1781752,499677,779979,185469,26752,2182691,1785011,102498,240882,738293,455570,930540
104,955357,1707470,586180,2187759,499104,2044476,1927530,1854437,125925,1476972,1525106,915486,1734129,402125,1690230
105,851601,1538697,1637637,970126,1230839,953971,925342,1961554,1572723,1297191,1151963,628728,1603751,144450,1670987
106,1938468,371045,1579403,2134172,746489,1965749,892221,683869,906096,1783950,863435,1409165,32647,1238560,611786
107,1507207,908191,1312954,310185,2092596,1948745,1748909,276704,1486868,156739,2139063,245085,1540636,1094237,2113161
108,1044798,886791,61568,1635930,1307936,960454,2126541,116631,1749150,211607,1925778,566517,1274519,238790,2087020
109,210719,1660500,547742,1448227,1230967,357998,723753,1364679,377905,536512,504293,433524,1424831,2110878,1217348
110,1067296,83478,1293031,2092947,1817205,928895,116480,741877,1549862,726480,630833,296361,1016913,557569,2162831
111,1759414,2151153,1123204,2068164,1456254,971188,1943764,188289,280054,1972591,1449449,293785,1885145,679128,1985310
112,1238668,1117507,2093146,1585224,1060639,369148,1331162,24092,1418048,269627,910826,1644108,1121991,2114467,2171300
113,657113,22909,1119158,1970559,1068052,1710878,882917,1987430,1444623,1238561,852548,822018,914695,639595,1296567
114,2144746,496129,1529643,984979,1704342,462697,1517804,517649,351003,738225,1732137,514946,462248,634165,1456327
115,1918977,1837362,1295081,81775,1470222,1353851,1331977,413564,1110362,2149818,2149392,694847,490142,1262294,1401235
116,1373188,288966,109588,196054,1205843,789591,1690052,1024351,978343,1936535,1635468,2233535,540447,1734865,1015569
117,1065771,2024808,663049,824561,1426903,964513,447939,961055,362853,1653605,1230879,9902,1193562,677151,781298
118,1908518,1749916,2159111,2144884,381644,690163,2052430,1548878,1629338,1186138,1458202,770260,412326,700366,241396
119,1235853,1132231,1633605,2130920,1411323,2065347,862738,1397130,1637798,2032783,1387978,2115266,1371321,1196323,2199562
120,999868,1234412,804118,331866,500396,1308127,920645,1928439,62502,1151808,47736,638058,1129655,1507322,1592631
121,1832884,1466940,1642353,337079,997359,2166494,2037436,2040931,899520,1558463,14973,1649632,1295202,1570048,1277676
122,2011228,2041210,2224552,402524,574435,1618872,1645314,833945,1390178,1317327,1116289,2056544,247828,1417816,225674
123,1516091,1464004,2005262,1762557,715019,1883769,138416,397558,1248825,2218425,2137130,2018462,1107552,80529,386652
124,450343,108872,1560415,1421859,1585339,1680328,788146,1515840,1686303,2008070,343584,515802,1247662,1463570,637158
125,370180,1932953,1855257,1483435,1656323,1409478,627890,770247,726524,16559,2158542,1977301,546045,844435,483681
126,641276,246165,1484492,749683,874699,845667,170856,291622,1698552,939213,786548,617367,971520,406807,1389496
127,1370728,1196130,531975,2223474,1910100,34538,1779893,1233728,548124,492372,800969,1019931,1047698,1839434,1068420
128,418363,1406395,1814988,2966,426621,823495,1503336,2168190,441072,2128449,1597402,1955301,35209,1868437,1435302
129,894070,1297165,805314,1491989,1076248,1215023,1625209,252230,1208246,1293053,1518011,1561409,1446976,331465,965854
130,2115026,1438067,1123861,1672415,271568,1320256,1383652,1942403,1625138,158745,583911,1690663,108830,26449,2001029
131,712972,530657,1098148,1672612,2203452,337345,948129,1024078,1190595,356845,423944,488766,772647,1419027,2065625
132,2047495,310392,563105,1756818,1667499,575600,751368,969533,223143,2204093,1107881,1968408,142501,1033800,58379
133,1920539,1452274,883840,241559,2018903,1394782,1562553,1334873,484756,1899268,724789,841390,1319037,956474,1074519
134,388686,302926,2017247,1097672,319336,1667508,1790239,534441,501822,1548704,623715,1675808,1863910,152455,1110071
135,1743209,60011,1753024,555082,228014,633782,1296996,181195,2193498,764284,43083,1634131,1790856,1713520,644398
136,103944,1656849,1697434,344534,370976,279801,619384,1195250,2134852,244815,1271792,1022471,7163,771644,634291
137,1480747,1199774,1016284,1966606,1619007,594984,1264197,1852975,1829861,2058624,1873597,285714,913390,1276323,2100525
138,2198555,1866296,1145344,991857,1421310,1925671,2171981,1060687,1972875,441099,106413,1942641,2238299,1216631,845032
139,1828838,1641997,1009096,1073185,1540961,1143688,1006826,1678076,1447614,1367933,1139744,2137358,633024,36054,517909
140,1761774,495890,1431950,658309,40315,609120,1183542,147159,417519,41177,1035933,2127351,1881641,55322,1235727
141,517886,1905621,942181,1852892,2149558,2036226,763616,162901,767336,1131274,1472101,659845,118209,1997926,1300660
142,515241,255911,248126,1900336,1517833,618223,154313,446320,360659,1320693,1769498,1760787,1956652,159235,1440877
143,1348558,1410804,893694,1734295,789210,255377,1495661,546907,1912386,758894,2053068,222675,39229,491886,701292
144,1779195,2057931,550980,566506,1312030,123824,473313,516033,1087222,1996872,2026340,516958,936405,1528669,2086675
145,1065265,543119,1208096,707608,1262444,1180347,520182,1834740,1048273,888555,352334,20885,42091,555351,2057981
146,9792,1156285,1398547,512708,1532186,1709005,535932,1541304,1377605,119206,1805632,1904507,212033,717328,50377
147,2241905,724818,1430253,135318,595317,1691706,1957407,77752,549557,1598793,1333797,577527,1975448,1570969,695557
148,573833,1916355,626292,1133071,1866245,2070202,8148,1328113,167724,431990,1531662,644774,1150943,1798833,1559318
149,2101293,463996,1647784,1845501,457876,2151238,929998,1457733,1842383,298573,1254136,23625,907014,1119066,75209
150,744071,2014328,2203593,1726127,1086432,117565,628407,1082335,127651,1994039,588315,1992980,1578118,1006328,1721019
151,1727809,1672076,2068888,1600060,477657,299610,1813388,573698,320288,2094552,1175397,1897179,2104935,1682681,1724674
