,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14
0,1354820,801863,1422643,1416869,326177,1195752,967469,82244,155308,1157796,1031316,1253614,1254779,785667,793254
1,353064,1238925,747931,1090166,954268,634819,139692,930779,1083433,1407286,22347,550781,1193933,691741,159879
2,867687,587598,1188936,1275709,256910,907611,157027,38765,405633,261441,1010964,1160478,702565,683352,998889
3,509918,1015638,187527,456400,654873,850312,370508,535775,771317,390356,991158,1164059,544575,146833,869528
4,1102579,285598,89123,156303,955075,426982,813019,463246,1371439,114112,164102,1094936,274215,975045,135856
5,854868,848289,17050,345266,1175349,675236,860811,152473,50456,1417755,946783,1252521,839268,78869,752658
6,206164,482902,1261620,437651,761558,261778,1019274,1255636,1149921,167972,250518,1037763,1329621,1162524,961322
7,114125,1364557,1205715,409886,277190,497918,453583,913503,39544,669741,81466,1028623,639851,1367578,134707
8,275429,1391875,1110036,1221632,1289776,1286475,8163,1208874,1362301,312228,862897,127121,387536,605218,1312861
9,693266,1099191,113637,1310062,856856,26131,213681,1175964,357964,1402266,1236063,1344785,1139613,161498,660027
10,981172,891933,1230765,594776,46899,1297303,1108741,1053546,1408955,811764,1326116,936894,517326,411560,826207
11,188943,27439,34763,444907,1045551,1065305,1456970,40512,23606,38315,305052,814282,1032594,400653,887711
12,418441,343028,727172,1238896,472949,316882,1439487,403380,1123130,1082606,42396,268104,738634,237547,668258
13,328417,82350,897466,920555,382737,357821,1337308,247232,318322,161304,922862,1413747,1468163,1441742,199413
14,1333334,1312731,832270,290263,491010,1101127,271415,781214,215458,20480,878268,1360867,23729,1170857,944367
15,377247,743013,515365,1134592,1461582,357402,1060489,1177642,901795,951259,509315,735719,989379,371915,669002
16,1121492,1211420,1041278,137474,1257776,1188782,1388804,588449,433977,475854,260930,825249,612624,734626,959969
17,755503,1377227,1314353,169658,864643,405078,597423,414893,576283,1040850,1145828,210584,502750,440512,745885
18,596850,427953,1116061,296469,1242628,1059829,274830,989900,1128179,1248690,553724,440153,896809,1436161,302966
19,226265,798526,322064,765145,437203,1074330,1444279,1423492,538620,642280,1162743,1155650,1197823,694664,77494
20,843777,1341449,658861,1111144,1087866,1311768,1178858,1005873,442603,812343,1409232,300177,1450975,1363536,1073633
21,1212498,250070,1177994,676548,1321752,1016534,1125604,349530,1158435,388540,1265489,36627,1006716,584242,520192
22,188454,123976,883817,1096717,1037680,1283513,875508,623901,650384,135643,1406451,1117465,1213908,621426,619488
23,555823,1268657,343552,870131,972579,1447966,1341009,1018639,108130,544120,1279741,739294,1005104,601279,1307912
24,446772,1284842,519805,23460,1346682,1078927,338574,21687,593224,1412418,1042977,1122113,950927,895018,1163952
25,633123,114435,807228,1329398,767049,174944,1262786,962754,1201387,1046351,101731,939279,1050448,3485,460499
26,1296988,912173,1440718,1250952,363045,983842,556362,968115,1040404,863013,805820,870875,1385407,1150863,72397
27,1280926,1308992,1313737,85769,179213,772106,27570,382902,624616,1460051,663642,406376,848703,329208,585769
28,475966,1368478,135583,246580,264147,175620,863064,1327715,1271114,1369960,675103,1224652,272400,664654,1266736
29,1068202,1227453,964625,1175563,1069412,842220,863483,806269,498172,482541,217602,862591,443745,987747,918954
30,817132,350792,574143,262601,1334785,1319023,338391,122771,761353,1299295,1121509,538023,1167175,30727,148278
31,230178,1296853,529167,1470116,218657,613592,52115,874226,824778,909456,695008,1165000,946193,1192263,1365835
32,608816,1256248,854549,1063682,276573,317265,649528,663874,492855,1088955,334483,1203642,551203,1084003,754350
33,153364,493887,1268051,156225,1223633,415670,1382503,649866,991746,626779,459716,975101,512354,90867,338872
34,12241,1312182,682940,1147279,422784,44480,241894,331191,11389,376081,846011,1252384,119058,1209939,519663
35,300328,305156,1398045,733687,81715,784923,435642,976203,894951,191993,1450655,263768,622735,98688,708548
36,1403611,861920,279130,163540,482655,978630,445439,403951,375202,532331,984494,329510,1234955,334537,834923
37,1047446,1428656,545245,470680,125551,716802,269158,439668,1047606,604285,1073050,472645,750826,281195,1400202
38,650913,264014,919194,245235,7780,1022331,1179061,1312481,350752,1065548,667481,343606,558564,996186,904393
39,1243544,1359592,335252,985918,715477,570290,1023794,1146861,624595,1028051,262645,1393336,544594,642977,1419549
40,879794,511098,1025565,467429,856802,1232028,471882,880117,940315,500295,678839,632962,1284141,659330,642353
41,366919,1374035,54952,478622,639032,1232491,225644,945626,199573,1118628,488690,372949,1293972,680657,486351
42,842141,438391,434877,557197,1113732,437536,1345173,875459,493821,874061,1000019,939796,800901,89549,949162
43,65250,420579,971005,1386226,282117,1094842,682008,259681,990588,874880,752507,780579,998246,470164,959858
44,273039,1292080,666891,208031,637332,1200139,1332177,348069,967550,202040,805529,294072,1115415,99742,1035904
45,1424361,1291922,955536,992862,326249,406961,551356,183448,1264958,1141104,1158574,7069,387621,830543,830419
46,539533,610095,1020960,1064598,395323,1165083,944896,1196120,1447718,665873,56010,493777,511511,629426,917624
47,1102219,460766,1313130,749229,919707,590805,894114,718869,819117,1452047,742872,266812,730383,1444498,553614
48,693112,1018107,530158,722595,1207174,1320905,597547,891260,1067761,1907,1186601,450201,1121105,328925,1077439
49,1438482,1345954,140453,323968,610662,771181,470374,656133,1404331,756560,820432,198894,195584,85358,1135152
50,1416398,1193096,857359,1102931,43448,424318,172208,618966,1211449,639489,52309,862328,250335,439306,533969
51,642460,21623,590429,638696,395093,79682,975753,1405532,964366,389688,706501,505367,133624,653888,1093
52,592344,1068478,592753,640367,586587,982473,889454,90557,944320,244984,1344927,565555,53921,605829,444682
53,542696,741841,606880,264010,1037623,318608,331861,928676,1310885,1010835,1113856,424135,1057566,855843,836564
54,1402716,468508,194234,1207569,612399,663651,160944,877933,684751,46669,1109434,273331,473020,1003964,719698
55,1398514,480044,1087951,386671,434788,1374816,352369,87685,629889,1465267,28408,838568,572186,522148,309094
56,1447850,264290,617714,1324525,787212,244582,617279,1134339,567681,1024833,649126,301035,254172,253681,190941
57,804593,167021,1331255,740257,95019,856522,59025,515278,922014,1245434,599153,112740,73342,1105802,246181
58,816501,982314,781457,462100,1153986,529180,949306,231349,1430655,1322847,1351042,1154237,272833,1316909,545228
59,263658,946253,859660,1342510,1128196,239727,401753,1371116,1011769,1197451,52311,94024,911092,150813,624503
60,1148616,366726,234901,1131720,846937,666021,1313440,961493,689507,498214,363511,760961,70101,366063,680666
61,487229,13513,71427,1201115,167385,667275,891759,1260686,837912,1245694,690263,909773,902748,786877,1055100
62,1236851,1297598,1064187,1398114,20294,1234677,336726,1387305,298312,1245200,894608,62958,1114002,142591,574455
63,465745,344604,378801,324604,1290752,1168903,646772,371396,1339212,1214724,1114048,928242,904470,710781,366823
64,1008772,520707,870283,1205061,1219482,1173271,491426,597629,347129,949451,682667,803355,1378009,1083817,528459
65,798524,1136062,58185,1432411,510953,1402781,204376,388037,1350153,516076,518057,1346971,5050,303561,92212
66,881052,317084,1219708,1272598,677944,107187,461454,507465,226561,112529,208224,56376,402179,963452,503671
67,1338196,584689,1086872,701680,583452,389604,319349,539650,865078,86783,859206,739538,326757,1018974,861366
68,87127,323866,788417,818679,1064853,206942,1108636,768264,368656,125729,889072,121458,892301,916216,1023883
69,612794,23867,759214,622087,976951,1088360,1159636,906717,1043016,634142,343857,225586,226754,577940,1081579
70,1183021,1197171,916001,869378,1077128,1414831,724602,406656,465110,238713,1105652,231393,398590,1032201,1393301
71,272648,323879,1215050,162853,407211,1214637,737731,1065181,482943,81599,64426,1182498,112636,509187,1045522
72,390556,1399042,1401861,625822,825198,832683,356165,670277,285795,791785,1234796,1384178,915026,806481,924611
73,70993,557395,303279,792989,1340454,1357884,331619,871945,1016034,154344,614392,409733,180100,1452741,1140010
74,757050,1022568,1221857,1356733,533434,332900,250297,669213,511780,1151451,474170,579173,902338,664866,1121998
75,344829,1038092,773668,901602,1013724,701222,48962,1425872,585341,960226,1433791,520901,794095,115819,152245
76,708183,198414,155998,1258366,436646,1171410,118405,1079547,176631,985381,1090751,1240345,534060,1129855,894266
77,577336,628005,387247,1059762,957727,1356311,672231,1445283,763010,235665,255523,1182225,991997,770469,1461157
78,1204000,745660,439864,434045,72970,1379618,333558,830827,1032530,712768,673459,884093,177702,956747,815191
79,293483,1344265,1325704,749305,1391820,198394,1420135,1423321,327937,174818,1459141,1231849,105681,1184601,16210
80,748114,1066077,968902,949415,929435,1295234,1206999,506200,1174149,337866,859483,51126,1143890,313077,79717
81,869177,341466,1309695,503865,519850,1358471,702575,273703,1186129,346405,1110178,1044217,1398066,1429904,596313
82,127679,100933,898444,888001,1151985,1215029,686225,753397,994574,473681,1068316,1320944,1113472,314585,1063923
83,658210,117529,138634,215853,40264,486260,192929,1105711,1129772,127203,292337,444541,1099287,570918,552641
84,1295786,477495,715295,1165965,1034981,792867,320275,1295810,726315,813838,31693,909614,73715,518604,1233498
85,64154,1156890,486971,1002725,179660,343658,351290,832506,736696,484093,970091,1280933,890960,1406764,1443773
86,406464,1302204,858908,1075622,735603,976239,1207005,263148,982860,257173,298234,181436,1006303,958430,963189
87,335796,790882,1009910,104007,622636,441129,154450,1146811,808576,440119,1380236,1002687,265940,94664,1133930
88,646088,867111,737267,729567,1099261,796880,894330,1120027,257108,23385,1174597,993629,843745,97628,1287483
89,321537,939215,133231,996008,1417284,1190209,997288,495061,1403959,848429,202700,509608,625103,1104435,33238
90,1368725,502909,163588,1102049,939246,364066,305479,914413,128773,1425376,187461,1070561,926243,1193602,1402809
91,630231,1262735,41232,57152,117639,1044790,382453,892174,710145,1222017,176933,1170948,195649,493061,202113
92,127427,1227149,916954,83564,1167549,580383,969132,931006,668220,882480,238124,969769,96632,1006911,613683
93,991204,1119958,794262,657684,869404,773354,88253,367500,1350733,192937,528031,332657,9307,500476,1381451
94,234715,815323,253262,269988,1148450,785171,949041,1362736,1151929,891663,405216,551377,695302,231526,1186363
95,146399,570378,864737,196831,128412,529120,320585,943345,859649,459421,1108626,969804,281862,305344,604892
96,60050,77994,950810,572511,547319,506628,630653,841772,638104,290644,403870,1420608,582861,966147,659950
97,1344689,5708,1449766,325565,1379137,590392,876337,122596,1120640,773534,515398,793838,1012970,1433822,244329
98,774442,693372,432500,741520,407724,795680,1390906,109148,731979,938002,988659,1106083,425298,662927,651138
99,519450,791336,436265,387988,119263,453453,234244,524245,261695,1146507,1364794,502172,679803,724627,374597
100,1264006,528808,263908,1392463,653839,600384,301030,557,476679,1213609,1226385,808395,633700,292525,455305
101,1277644,1145848,167729,840323,1415502,1251852,1093127,815570,1320232,934286,229587,778735,196794,563797,731494
102,807558,1266641,1364270,1180869,567186,124462,1397849,799678,1329699,144913,830541,558609,412644,1832,1044791
103,1182945,1324431,1192547,60484,1401274,1079825,295967,1348073,529057,592635,1037780,464642,1200903,554617,486120
104,962335,122606,886743,770232,1440389,1311252,1096565,796307,467484,1430860,851331,1097312,53218,865135,799478
105,831807,152941,1381177,365689,1349751,37005,291775,806236,419048,1466997,1007577,946659,203380,178374,275740
106,505684,1179662,306893,902832,1313075,1405539,1449465,695941,801360,590470,361307,613196,661029,158710,670148
107,1275146,438252,1027017,264492,150366,951414,1389481,1263502,625432,400307,1029861,573639,370797,1157825,835851
108,707318,359275,159302,1313867,1368843,287556,1068479,1000533,338125,663764,238325,704622,286536,1197888,83497
109,478405,1298189,772436,698897,336250,1273788,187202,733380,863434,838600,1037035,693660,881898,1399793,835383
110,946650,886628,326473,94931,394696,184592,827176,1019560,1343535,780401,1150528,703275,754146,1339442,1326617
111,8039,747385,627011,1274229,1435082,1406021,535910,183573,13504,484501,1448725,1292679,436057,1194123,902274
112,423074,36017,519637,764820,371646,715804,981371,468692,186135,1298703,215182,457085,1035434,44172,374075
113,311621,70017,605025,590783,689615,352276,510794,946393,38265,769660,1066772,800462,613219,993656,1174329
114,662408,959702,1197472,876624,757927,771562,1383413,821852,880320,682284,1294465,193547,456788,930941,515026
115,237757,1122711,1029383,1184140,122485,295855,68432,1297284,1193255,647234,1247003,369047,996815,1013281,1282466
116,47650,651663,221470,564108,1104929,274241,190482,520861,998377,227068,824012,572567,210844,423813,242819
117,170845,830119,868148,931462,84541,110623,1070737,827483,766652,278021,1437566,606740,145620,48608,9040
118,876611,17615,1390719,166430,97303,911575,1114265,359785,1417664,285345,142101,779517,199192,350590,1144367
119,825302,994601,1147658,1186268,888730,1391458,220449,517467,246691,1376954,1081953,1321112,908561,643519,598528
120,496989,983210,822112,1369295,1468209,1001363,419994,1443261,916672,1039339,1023733,266735,115391,110731,391192
121,182440,105719,705073,207148,1099418,142555,1464171,971260,284325,1395872,1383615,203795,1248526,920155,421133
122,211571,1145403,85210,800884,906649,253039,777914,903513,214885,271386,997494,848693,196932,1314749,1324188
123,834763,1286323,218291,664302,163832,674341,949680,395101,283480,1278743,1026378,338340,985306,1307872,1137821
124,1120501,213881,1048651,1033835,274211,1391449,779150,664508,41482,1145453,879106,1106175,200382,42216,264593
125,816298,706489,16314,449236,530088,973640,504300,278960,258795,905331,469947,638162,25793,665459,630924
126,392070,514129,1180672,182479,84711,1353319,1026505,550140,381119,591381,215713,664859,625616,986520,118060
127,793589,386793,250765,1249830,346498,507340,362943,953081,46863,446968,1405782,424746,564215,494122,473329
128,302026,87480,1443164,656367,468464,1245502,75991,639753,795853,742333,1435239,367949,526567,835099,1271062
129,677211,1265524,954258,1454533,915870,823310,375125,666135,149094,114143,50934,1313939,1369653,776640,623878
130,920351,1345764,348415,827501,918818,1204915,317572,243401,1279212,294183,9962,632964,1182285,229627,1208436
131,310259,183883,288381,538575,224167,8455,1446134,98118,1467326,928048,501637,1435882,875021,730635,1210268
